CPU,RAM
11.0,65.6
6.6,65.8
10.1,65.9
10.0,66.0
11.3,66.0
10.5,66.0
9.9,65.9
10.2,65.9
9.5,65.9
10.0,65.9
9.7,65.9
9.6,65.9
9.5,65.9
9.7,65.8
11.3,65.7
9.4,65.7
9.3,65.7
9.8,65.6
9.5,65.6
10.1,65.4
9.1,65.4
9.4,65.3
9.6,65.3
10.0,64.8
10.0,64.8
9.7,64.8
9.5,64.8
9.8,64.8
9.3,64.9
9.9,64.8
9.4,64.8
9.9,64.8
10.1,64.9
9.7,64.8
10.5,64.8
9.2,64.9
9.8,64.9
9.4,64.8
9.6,64.8
9.7,64.8
9.8,64.9
9.6,64.9
9.3,64.8
9.7,64.8
10.8,64.8
9.6,64.8
9.4,64.8
9.3,64.8
9.2,64.8
10.2,64.8
9.3,64.9
10.1,64.9
9.3,64.9
9.2,64.9
10.7,64.8
9.4,64.8
9.1,64.8
9.6,64.8
10.1,64.8
9.3,64.8
9.6,64.7
9.6,64.7
9.5,64.7
6.7,64.7
10.5,64.7
