CPU,RAM
13.5,63.8
8.2,63.7
9.7,63.8
9.9,63.9
9.4,64.0
11.0,63.9
10.6,63.9
11.6,63.9
24.8,64.0
23.9,64.1
9.6,64.1
10.1,64.0
9.4,64.0
10.1,64.1
9.4,64.1
10.8,64.1
9.4,64.1
10.3,64.1
11.9,64.1
9.7,64.0
9.6,63.9
10.9,63.8
16.1,64.0
14.1,63.8
10.0,63.7
9.6,63.7
9.7,63.7
12.7,63.7
9.2,63.7
9.5,63.8
12.7,63.8
10.1,63.7
9.1,63.8
9.4,63.8
9.5,63.8
9.6,63.7
9.2,63.7
13.6,63.8
23.4,63.8
22.7,63.8
12.3,63.8
10.0,63.8
9.3,63.9
9.6,63.9
9.9,63.9
9.6,63.9
12.1,63.9
14.5,63.9
9.8,63.9
9.5,63.9
10.0,63.9
10.9,63.9
9.5,63.9
11.1,63.9
10.2,63.9
10.0,63.9
10.4,63.9
11.0,63.9
10.4,63.9
10.4,63.9
11.0,63.8
9.3,63.8
9.3,63.8
15.9,64.3
16.5,64.3
14.3,64.4
21.2,64.4
13.5,64.4
13.5,64.4
7.6,64.5
