CPU,RAM
11.9,62.9
4.3,62.8
3.5,62.8
3.8,62.8
3.9,62.8
2.2,62.8
2.8,62.8
2.1,62.8
1.9,62.8
2.3,62.8
1.8,62.8
1.4,62.8
1.4,62.7
1.4,62.6
1.6,62.6
1.7,62.6
1.9,62.6
2.4,62.6
1.5,62.5
3.2,62.5
2.4,62.5
3.3,62.6
2.0,62.6
1.6,62.6
2.2,62.6
3.2,62.5
1.7,62.5
2.5,62.5
1.5,62.5
2.2,62.4
1.7,62.4
2.3,62.3
2.2,62.2
1.4,62.2
1.4,62.2
1.4,62.2
1.3,62.2
2.6,62.2
2.3,62.2
1.9,62.2
4.2,62.1
2.2,62.0
1.5,62.0
1.4,62.0
1.4,62.0
1.4,62.0
1.9,62.0
2.2,62.0
1.7,62.0
1.9,62.0
1.8,61.9
6.3,62.0
4.7,62.0
12.1,62.1
10.6,62.0
10.3,62.0
12.0,62.2
11.7,62.1
10.5,62.1
15.1,62.2
11.4,62.2
14.2,62.3
13.7,62.2
9.6,62.2
4.1,62.2
1.2,62.2
1.7,62.2
2.4,62.2
1.6,62.2
2.1,62.2
1.7,62.2
1.6,62.2
1.4,62.2
1.5,62.2
2.6,62.2
1.5,62.2
1.2,62.2
3.2,62.2
1.3,62.2
2.2,62.3
2.2,62.3
1.9,62.3
11.6,62.3
7.5,62.4
2.8,62.4
2.5,62.4
2.0,62.5
3.0,62.5
3.3,62.5
2.2,62.5
1.7,62.5
2.1,62.5
2.3,62.5
1.5,62.5
1.6,62.5
1.7,62.5
1.4,62.5
2.7,62.5
1.9,62.5
2.1,62.5
4.7,62.7
2.1,62.7
1.4,62.7
1.3,62.7
1.2,62.7
1.4,62.7
1.6,62.7
7.6,62.8
3.1,62.8
2.2,62.8
4.5,63.0
1.3,63.0
1.2,63.0
1.7,63.0
1.5,62.9
2.2,62.9
1.3,62.9
2.6,62.9
1.7,63.0
2.3,63.1
4.7,63.4
6.8,63.6
1.8,63.6
1.6,63.6
1.7,63.6
1.7,63.6
1.7,63.6
2.5,63.6
1.5,63.6
2.0,63.6
2.2,63.6
1.4,63.6
1.3,63.6
1.7,63.6
1.2,63.6
1.6,63.6
1.6,63.5
2.4,63.5
1.7,63.5
1.8,63.5
2.3,63.5
1.8,63.5
2.2,63.5
1.8,63.5
2.7,63.5
2.4,63.5
1.7,63.5
2.7,63.6
1.3,63.6
1.2,63.6
2.7,63.5
2.0,63.5
1.7,63.5
1.5,63.5
2.0,63.5
1.5,63.6
1.2,63.6
2.6,63.6
1.5,63.6
1.7,63.6
2.2,63.6
1.7,63.6
1.2,63.6
1.7,63.5
1.4,63.5
1.3,63.5
1.5,63.5
2.2,63.5
2.2,63.6
4.0,63.8
3.5,63.8
1.5,63.8
1.5,63.8
1.7,63.8
1.7,63.8
2.2,63.8
1.4,64.0
2.8,64.0
1.3,64.0
1.7,64.0
3.6,64.1
2.0,64.1
1.8,64.1
1.7,64.1
5.5,64.0
2.3,64.0
1.3,64.0
2.4,64.0
1.7,64.0
1.7,64.0
2.4,64.0
1.6,64.0
1.2,64.0
1.3,64.0
1.8,64.0
1.3,64.0
1.4,64.0
2.4,64.0
1.1,64.0
1.8,64.0
