CPU,RAM
12.5,65.5
4.8,65.6
6.0,65.7
3.7,65.7
8.5,65.7
5.3,65.7
5.8,65.7
7.2,65.7
7.2,65.7
7.1,65.7
3.7,65.7
9.6,65.7
3.9,65.7
6.1,65.7
5.3,65.7
4.1,65.5
6.7,65.5
6.5,65.5
4.8,65.5
8.2,65.4
4.5,65.2
9.8,64.7
7.3,64.7
4.3,64.7
5.5,64.7
7.9,64.7
5.1,64.7
7.1,64.7
3.9,64.7
6.7,64.7
5.4,64.6
5.7,64.7
6.1,64.7
5.5,64.7
4.5,64.7
6.0,64.7
5.6,64.6
3.6,64.6
5.5,64.7
3.9,64.6
6.3,64.6
10.9,64.7
4.8,64.7
8.4,64.7
5.5,64.7
4.6,64.6
5.7,64.6
5.0,64.6
15.3,64.7
7.5,64.6
7.7,64.6
7.1,64.7
7.3,64.6
3.6,64.6
8.4,64.7
4.8,64.7
5.7,64.6
5.0,64.6
5.7,64.6
7.5,64.6
6.0,64.6
7.5,64.6
6.2,64.6
5.9,64.6
5.3,64.7
9.6,64.7
3.6,64.7
5.0,64.7
4.7,64.7
7.1,64.7
6.9,64.7
5.2,64.7
4.8,64.7
10.0,64.7
6.1,64.7
5.2,64.7
5.7,64.7
8.1,64.7
6.1,64.7
6.2,64.7
7.2,64.7
4.0,64.7
2.6,64.7
8.3,64.7
4.5,64.7
4.1,64.7
5.2,64.7
7.8,64.7
5.7,64.7
5.3,64.7
5.7,64.7
7.1,64.7
5.9,64.7
3.9,64.7
4.1,64.7
8.2,64.7
5.3,64.7
5.6,64.7
4.5,64.7
7.2,64.7
4.3,64.7
7.2,64.7
3.9,64.7
5.7,64.7
6.1,64.7
5.8,64.7
5.4,64.7
5.0,64.7
5.2,64.7
5.0,64.7
5.4,64.7
5.8,64.7
4.7,64.7
5.2,64.7
5.3,64.7
4.2,64.7
7.3,64.7
6.3,64.7
4.0,64.7
5.6,64.7
3.2,64.7
8.4,64.7
4.5,64.7
7.4,64.8
9.1,64.7
3.0,64.8
7.9,64.7
5.5,64.7
3.1,64.7
17.4,64.6
6.8,64.6
7.5,64.6
7.4,64.6
5.7,64.6
7.6,64.6
